gene_id	gene_tpm_control	gene_tpm_smg6	gene_tpm_upf1	uorftx_tpm_control	uorftx_tpm_smg6	uorftx_tpm_upf1	uorftx_number	alltx_number	frac_control	frac_smg6	frac_upf1	eps
ENSG00000130939.14	4.80385	6.320538	6.534992	4.80385	6.320538	6.534992	3	4	1	1	1	0
ENSG00000142655.8	40.879121999999995	35.921655	32.434899	37.111135	35.921655	28.905457	1	2	0.9078261269897138	1	0.8911838140763132	0
ENSG00000116688.12	24.696599	21.861144	29.79838	24.696599	21.861144	29.79838	2	2	1	1	1	0
ENSG00000116691.6	1.627398	2.532337	8.175462	1.627398	2.532337	2.40344	1	2	1	1	0.29398216272058997	0
ENSG00000162458.8	0.564319	1.249094	0.8384069999999999	0.564319	1.249094	0.8384069999999999	4	5	1	1	1	0
ENSG00000065526.6	5.375528	4.599448	6.179964	5.375528	4.599448	6.179964	1	1	1	1	1	0
ENSG00000189266.7	111.65593700000001	109.077985	174.762065	111.65593700000001	109.077985	174.762065	2	2	1	1	1	0
ENSG00000183726.6	29.217685	48.787985	44.934756	29.217685	48.787985	44.934756	1	1	1	1	1	0
ENSG00000130772.9	19.697855	18.185988	21.541755	19.697855	18.185988	21.541755	2	2	1	1	1	0
ENSG00000121766.10	173.92806	184.066767	181.86647	15.186893	27.977962	37.434203	1	4	0.08731709535540154	0.15199898632434827	0.2058334502231225	0
ENSG00000121775.13	10.144772	18.622904	18.387361	3.238661	8.743338	9.414803	2	4	0.31924433590030415	0.46949380182596656	0.5120257877136366	0
ENSG00000020129.11	2.360888	1.702577	3.347443	1.937481	1.429239	2.659853	2	3	0.8206577355639064	0.8394563065282803	0.7945924695357023	0
ENSG00000126070.14	6.785666	11.049613	9.75905	6.785666	11.049613	9.75905	4	4	1	1	1	0
ENSG00000054118.9	37.634607	40.239666	51.200134999999996	37.634607	40.239666	51.200134999999996	2	2	1	1	1	0
ENSG00000117408.6	0.841143	2.339665	2.597887	0.841143	2.339665	2.597887	1	2	1	1	1	0
ENSG00000132768.9	7.849822	9.606348	11.292552	7.849822	9.606348	11.292552	2	3	1	1	1	0
ENSG00000117448.9	262.178555	461.32881299999997	439.038787	11.795346	14.824752	19.375194	1	2	0.04498974372636999	0.032134892905551084	0.04413093916460734	0
ENSG00000159596.6	3.530299	5.670993	4.107041	3.530299	5.670993	4.107041	1	1	1	1	1	0
ENSG00000085999.7	6.983505	4.165849	6.818123	6.983505	4.165849	6.818123	1	2	1	1	1	0
ENSG00000123080.6	41.000397	27.383701000000002	31.201061	41.000397	27.383701000000002	31.201061	3	3	1	1	1	0
ENSG00000117859.14	72.628012	94.30081200000001	107.537696	64.942081	65.038845	88.444147	2	9	0.8941740137400429	0.6896954927599138	0.8224478512167491	0
ENSG00000134748.12	75.408003	96.307722	81.989416	75.408003	96.307722	81.989416	1	1	1	1	1	0
ENSG00000116221.11	60.163564	62.626308	74.527965	60.163564	62.626308	74.527965	1	2	1	1	1	0
ENSG00000162599.11	18.766227	19.431166	26.959204999999997	6.257205	5.57223	5.360916	1	4	0.3334290371740681	0.2867676597482621	0.1988528964411228	0
ENSG00000162607.8	12.798789	13.547528	15.874020999999999	7.279773	10.614911	10.503343	1	2	0.5687860781203596	0.7835312095313625	0.661668710152267	0
ENSG00000125703.10	42.344347	69.460594	73.245334	42.344347	69.460594	73.245334	2	2	1	1	1	0
ENSG00000116678.14	4.756513	5.955972	4.536011	4.756513	5.955972	4.536011	3	4	1	1	1	0
ENSG00000162623.11	57.703921	66.432565	70.09224999999999	57.703921	66.432565	70.09224999999999	3	3	1	1	1	0
ENSG00000117054.9	211.620701	174.389412	155.573477	210.074615	172.503907	154.571052	1	4	0.9926940701325812	0.9891879617095103	0.9935565816273426	0
ENSG00000137955.11	137.401804	323.010861	367.018311	137.401804	323.010861	367.018311	1	3	1	1	1	0
ENSG00000142875.15	5.315273	6.790643	6.623709	4.729097	3.581386	4.391519	2	6	0.8897185525560023	0.5274001298551552	0.6629999898848213	0
ENSG00000097033.10	31.043949	38.173929	47.49052	30.814605	37.429087	47.276112	1	3	0.9926122800936182	0.9804882017777107	0.9954852463186338	0
ENSG00000143013.8	14.72469	22.165425	19.924415	5.769629	7.000606	7.17584	1	2	0.39183364811075816	0.3158345035116629	0.3601531086358119	0
ENSG00000143033.13	107.313486	72.447777	97.447997	107.313486	72.447777	97.447997	4	4	1	1	1	0
ENSG00000134186.7	18.274741	24.867622	48.662531	17.03466	22.674326	43.159982	1	3	0.9321423488300054	0.911801136433552	0.8869243155478287	0
ENSG00000121957.8	8.610732	9.566838	10.313845	8.610732	9.566838	10.313845	2	2	1	1	1	0
ENSG00000065135.7	120.157784	106.923309	125.356648	120.157784	106.923309	125.356648	1	1	1	1	1	0
ENSG00000116337.11	4.144389	3.781141	10.335449	0.735662	1.123953	1.894738	2	5	0.17750795111173204	0.2972523373235751	0.18332420778236147	0
ENSG00000134255.9	19.661165	36.059124000000004	35.517624000000005	17.66525	35.045326	33.669409	1	2	0.898484398050675	0.9718851184515741	0.9479634392210469	0
ENSG00000155363.14	3.8869569999999998	5.562301	8.516786	1.427485	2.952627	3.235304	1	5	0.3672500107410501	0.5308283388475381	0.37987381624946315	0
ENSG00000198799.7	0.265761	1.051253	0.994626	0.265761	1.051253	0.994626	1	1	1	1	1	0
ENSG00000118655.4	4.264707	4.250599	4.145514	4.264707	4.250599	4.145514	1	1	1	1	1	0
ENSG00000163399.11	10.178144	18.77642	13.339534	1.144281	4.126712	4.002459	1	3	0.11242531054777768	0.21978161971238394	0.3000448891243127	0
ENSG00000198162.8	2.456529	3.251763	2.870948	2.456529	3.251763	2.870948	1	1	1	1	1	0
ENSG00000188610.8	24.065404	30.437120999999998	32.968450000000004	9.507851	8.346896	13.751589	1	2	0.3950837891605726	0.2742340840975071	0.41711360406691844	0
ENSG00000213240.7	5.6897150000000005	11.50338	15.464087999999999	4.899829	11.50338	15.034892	1	2	0.8611730113019721	1	0.972245631297494	0
ENSG00000117289.7	5.395577	12.338158	25.719047	5.395577	12.338158	25.719047	1	1	1	1	1	0
ENSG00000121848.9	17.067282	31.896561	40.239844	17.067282	31.896561	40.239844	1	1	1	1	1	0
ENSG00000116128.5	1.275489	1.939094	2.137772	1.275489	1.939094	2.137772	1	1	1	1	1	0
ENSG00000187145.10	973.237744	930.54638	811.614143	973.237744	930.54638	811.614143	2	2	1	1	1	0
ENSG00000117360.8	60.263518999999995	84.53223	106.51725800000001	60.263518999999995	84.53223	106.51725800000001	3	3	1	1	1	0
ENSG00000143363.11	26.519777	32.151598	23.370801	9.472370999999999	13.233718	11.991917	2	5	0.3571813971135579	0.41160374050459325	0.5131153613434131	0
ENSG00000213190.2	7.289955	5.957719	8.061552	7.289955	5.957719	8.061552	1	1	1	1	1	0
ENSG00000143398.15	12.893988	15.436112	20.889387	12.893988	15.436112	20.889387	2	3	1	1	1	0
ENSG00000160679.8	1110.224641	785.922359	752.721681	71.241923	115.299667	122.413523	2	4	0.06416892615158593	0.14670617991668564	0.16262786909149757	0
ENSG00000143578.11	1.294085	4.441617	4.314288	1.294085	4.441617	4.314288	3	5	1	1	1	0
ENSG00000173207.8	944.720353	933.8627180000001	1038.121266	339.013415	379.126599	457.061437	1	3	0.3588505465383998	0.4059768011854607	0.4402775012606282	0
ENSG00000132718.7	12.604358	7.358655000000001	8.191785	12.604358	7.358655000000001	8.191785	2	2	1	1	1	0
ENSG00000160785.9	4.4228250000000005	7.769508	8.298452	4.4228250000000005	7.769508	8.298452	2	2	1	1	1	0
ENSG00000143294.10	10.080748	10.731926	10.575989	10.080748	10.731926	10.575989	2	2	1	1	1	0
ENSG00000158793.9	17.821846999999998	29.091946999999998	32.709173	17.821846999999998	29.091946999999998	32.709173	2	4	1	1	1	0
ENSG00000152332.11	0.416529	1.234673	0.908892	0.416529	1.234673	0.908892	2	2	1	1	1	0
ENSG00000143228.8	61.482664	56.670647	68.010904	61.482664	56.670647	68.010904	2	2	1	1	1	0
ENSG00000143157.7	3.939571	2.552419	2.769654	3.939571	2.552419	2.769654	2	3	1	1	1	0
ENSG00000143164.11	14.273672000000001	21.676503	26.758819	1.606979	0	0.950226	3	4	0.11258343333096066	0	0.03551076002270504	0
ENSG00000010165.15	24.218588	17.736753	17.252993	24.218588	17.736753	17.252993	3	4	1	1	1	0
ENSG00000117593.8	74.590079	72.28933500000001	61.36952	74.590079	72.28933500000001	61.36952	2	2	1	1	1	0
ENSG00000185278.10	1.13236	1.239602	1.97261	1.13236	1.239602	1.97261	4	4	1	1	1	0
ENSG00000116199.7	3.70149	4.77704	4.737947	3.70149	4.77704	4.737947	1	1	1	1	1	0
ENSG00000057252.8	18.043117	23.511185	23.452234	18.043117	23.511185	23.452234	4	4	1	1	1	0
ENSG00000135829.12	175.895903	316.483153	332.888679	175.895903	316.483153	332.888679	1	1	1	1	1	0
ENSG00000135862.5	0.618694	1.50849	1.097891	0.618694	1.50849	1.097891	1	1	1	1	1	0
ENSG00000116667.8	20.708526	22.426049	22.630169	20.708526	22.426049	22.630169	1	1	1	1	1	0
ENSG00000157181.10	10.007217	26.868029999999997	49.373812	10.007217	26.868029999999997	49.373812	3	3	1	1	1	0
ENSG00000116747.8	34.476951	31.001345	31.99541	2.844839	3.3486	3.340133	1	5	0.08251422812881568	0.10801466839583895	0.10439413028306248	0
ENSG00000058668.10	0.586045	1.245067	1.949946	0.230585	0.206029	0.393084	2	3	0.39345954662184646	0.1654762354154435	0.2015871208741165	0
ENSG00000058673.11	10.993591	14.368627	15.464043	10.993591	14.368627	14.145724000000001	4	5	1	1	0.9147493963900645	0
ENSG00000162772.12	309.260982	423.51070799999997	719.912352	14.130705	23.023437	37.306644	1	3	0.045691845471796375	0.05436329369032153	0.051821091687561424	0
ENSG00000163041.5	1993.705176	1876.11214	1541.402875	1993.3767619999999	1875.895134	1541.1951860000001	3	4	0.999835274541114	0.9998843320740946	0.9998652597556626	0
ENSG00000143801.12	5.214775	11.258981	12.508282	5.214775	11.258981	12.508282	3	3	1	1	1	0
ENSG00000181450.13	9.573806	18.61914	24.735675999999998	9.573806	18.61914	24.735675999999998	2	2	1	1	1	0
