gene_id	gene_name	entrez_id	desc	tx_names	is_rbp	self_rbp	is_cancer_gene	uorf_tx_number	all_tx_number	max_uorf_kozak_score	max_main_kozak_score	diff_score	deltaC_smg6	deltaC_upf1	deltaX_smg6	deltaX_upf1	delta_KD	nmd_gene_control_tpm	nmd_gene_xrn1_tpm	nmd_gene_smg6_tpm	nmd_gene_upf1_tpm	nmd_uorf_tx_control_tpm	nmd_uorf_tx_xrn1_tpm	nmd_uorf_tx_smg6_tpm	nmd_uorf_tx_upf1_tpm	nmd_frac_control	nmd_frac_xrn1	nmd_frac_smg6	nmd_frac_upf1	kd_gene_control_tpm	kd_gene_knockdown_tpm	kd_uorf_tx_control_tpm	kd_uorf_tx_knockdown_tpm	kd_frac_control	kd_frac_knockdown
ENSG00000130939.14	UBE4B	10277	ubiquitination factor E4B	ENST00000377157.3	FALSE	FALSE	FALSE	1	1	0.65455842980705	0.885246703085052	-0.230688273278002	0	0	0	0	NA	4.80385	4.363956	6.320538	6.534992	4.80385	4.363956	6.320538	6.534992	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000142655.8	PEX14	5195	peroxisomal biogenesis factor 14	ENST00000356607.4, ENST00000538836.1	FALSE	FALSE	FALSE	1	2	0.231904467500658	0.94869531004401	-0.716790842543352	0.09217387301028623	-0.01664231291340057	0.14828469188289528	0.03946850595920848	NA	40.879121999999995	23.958407	35.921655	32.434899	37.111135	20.405742	35.921655	28.905457	0.9078261269897138	0.8517153081171047	1	0.8911838140763132	NA	NA	NA	NA	NA	NA
ENSG00000116688.12	MFN2	9927	mitofusin 2	ENST00000444836.1, ENST00000235329.5	FALSE	FALSE	FALSE	2	2	0.687588004913574	0.910299320240769	-0.22271131532719501	0	0	0	0	NA	24.696599	22.744976	21.861144	29.79838	24.696599	22.744976	21.861144	29.79838	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000116691.6	MIIP	60672	migration and invasion inhibitory protein	ENST00000235332.4, ENST00000436478.2	FALSE	FALSE	FALSE	1	2	0.28940175877209	0.950032589237013	-0.6606308304649229	0	-0.70601783727941	0	-0.70601783727941	NA	1.627398	4.373938	2.532337	8.175462	1.627398	4.373938	2.532337	2.40344	1	1	1	0.29398216272058997	NA	NA	NA	NA	NA	NA
ENSG00000162458.8	FBLIM1	54751	filamin binding LIM protein 1	ENST00000375766.3, ENST00000400773.1, ENST00000441801.2	FALSE	FALSE	FALSE	3	3	0.665183836621667	0.954577063430999	-0.289393226809332	0	0	0	0	NA	0.564319	1.461525	1.249094	0.8384069999999999	0.564319	1.461525	1.249094	0.8384069999999999	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000065526.6	SPEN	23013	spen family transcriptional repressor	ENST00000375759.3	TRUE	FALSE	TRUE	1	1	0.925663051169812	0.963711931029662	-0.03804887985985006	0	0	0	0	NA	5.375528	6.045508	4.599448	6.179964	5.375528	6.045508	4.599448	6.179964	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000189266.7	PNRC2	55629	proline rich nuclear receptor coactivator 2	ENST00000334351.7, ENST00000374468.1	FALSE	FALSE	FALSE	2	2	0.848518972296511	0.936577103816611	-0.0880581315201	0	0	0	0	NA	111.65593700000001	124.951341	109.077985	174.762065	111.65593700000001	124.951341	109.077985	174.762065	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000183726.6	TMEM50A	23585	transmembrane protein 50A	ENST00000374358.4	FALSE	FALSE	FALSE	1	1	0.901856916499001	0.884123080623213	0.01773383587578803	0	0	0	0	NA	29.217685	37.847818	48.787985	44.934756	29.217685	37.847818	48.787985	44.934756	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000130772.9	MED18	54797	mediator complex subunit 18	ENST00000373842.4	FALSE	FALSE	FALSE	1	1	0.710741202641346	0.974154058200968	-0.263412855559622	0	0	0	0	NA	19.697855	13.548608	18.185988	21.541755	19.697855	13.548608	18.185988	21.541755	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000121766.10	ZCCHC17	51538	zinc finger CCHC-type containing 17	ENST00000344147.5, ENST00000373714.1, ENST00000546109.1, ENST00000422613.2	TRUE	FALSE	FALSE	1	4	0.885952029293968	0.924105926875436	-0.03815389758146803	0.06468189096894673	0.11851635486772095	0.005828402288416357	0.05966286618719058	NA	173.92806	169.86893199999997	184.066767	181.86647	15.186893	24.829841	27.977962	37.434203	0.08731709535540154	0.14617058403593192	0.15199898632434827	0.2058334502231225	NA	NA	NA	NA	NA	NA
ENSG00000121775.13	TMEM39B	55116	transmembrane protein 39B	ENST00000336294.5, ENST00000373634.4, ENST00000427288.1	FALSE	FALSE	FALSE	2	3	0.675793924321455	0.944477890959043	-0.268683966637588	0.1502494659256624	0.19278145181333245	0.10287415314698828	0.14540613903465832	NA	10.144772	18.540422	18.622904	18.387361	3.238661	6.797283	8.743338	9.414803	0.31924433590030415	0.3666196486789783	0.46949380182596656	0.5120257877136366	NA	NA	NA	NA	NA	NA
ENSG00000020129.11	NCDN	23154	neurochondrin	ENST00000373253.3, ENST00000356090.4, ENST00000373243.2	FALSE	FALSE	FALSE	2	3	0.7229169996257	0.94649184571729	-0.22357484609158995	0.018798570964373873	-0.026065266028204137	-0.12176817542347007	-0.16663201241604808	NA	2.360888	2.341529	1.702577	3.347443	1.937481	2.250735	1.429239	2.659853	0.8206577355639064	0.9612244819517504	0.8394563065282803	0.7945924695357023	NA	NA	NA	NA	NA	NA
ENSG00000126070.14	AGO3	192669	argonaute RISC catalytic component 3	ENST00000324350.5, ENST00000397828.2, ENST00000246314.6	TRUE	FALSE	FALSE	3	3	0.631554038508802	0.864923549517676	-0.23336951100887404	0	0	0	0	NA	6.785666	3.675561	11.049613	9.75905	6.785666	3.675561	11.049613	9.75905	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000054118.9	THRAP3	9967	thyroid hormone receptor associated protein 3	ENST00000354618.5, ENST00000469141.2	TRUE	FALSE	TRUE	2	2	0.719180975457707	0.890337920888993	-0.171156945431286	0	0	0	0	NA	37.634607	28.641606	40.239666	51.200134999999996	37.634607	28.641606	40.239666	51.200134999999996	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000117408.6	IPO13	9670	importin 13	ENST00000372343.3	FALSE	FALSE	FALSE	1	1	0.914462461490224	0.957113518786982	-0.042651057296758	0	0	0	0	NA	0.841143	1.611904	2.339665	2.597887	0.841143	1.611904	2.339665	2.597887	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000132768.9	DPH2	1802	diphthamide biosynthesis 2	ENST00000255108.3, ENST00000412950.2	FALSE	FALSE	FALSE	2	2	0.912040092257493	0.900277004332279	0.011763087925214077	0	0	0	0	NA	7.849822	10.079654000000001	9.606348	11.292552	7.849822	10.079654000000001	9.606348	11.292552	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000117448.9	AKR1A1	10327	aldo-keto reductase family 1 member A1	ENST00000372070.3, ENST00000351829.4	FALSE	FALSE	FALSE	1	2	0.692446495473596	0.949714726475721	-0.2572682310021249	-0.012854850820818907	-8.58804561762648e-4	-0.0023170638934273957	0.009678982365628863	NA	262.178555	328.152333	461.32881299999997	439.038787	11.795346	11.30549	14.824752	19.375194	0.04498974372636999	0.03445195679897848	0.032134892905551084	0.04413093916460734	NA	NA	NA	NA	NA	NA
ENSG00000159596.6	TMEM69	51249	transmembrane protein 69	ENST00000372025.4	FALSE	FALSE	FALSE	1	1	0.280373364113857	0.891689858101072	-0.6113164939872151	0	0	0	0	NA	3.530299	3.581727	5.670993	4.107041	3.530299	3.581727	5.670993	4.107041	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000085999.7	RAD54L	8438	RAD54 like	ENST00000371975.4	FALSE	FALSE	FALSE	1	1	0.705495675309359	0.950032589237013	-0.24453691392765398	0	0	0	0	NA	6.983505	5.574842	4.165849	6.818123	6.983505	5.574842	4.165849	6.818123	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000123080.6	CDKN2C	1031	cyclin dependent kinase inhibitor 2C	ENST00000262662.1, ENST00000396148.1, ENST00000371761.3	FALSE	FALSE	TRUE	3	3	0.924031546165996	0.909804220132681	0.014227326033315002	0	0	0	0	NA	41.000397	34.228426	27.383701000000002	31.201061	41.000397	34.228426	27.383701000000002	31.201061	1	1	1	1	NA	NA	NA	NA	NA	NA
ENSG00000117859.14	OSBPL9	114883	oxysterol binding protein like 9	ENST00000371714.1, ENST00000337809.4, ENST00000435686.2, ENST00000361556.5, ENST00000462759.1, ENST00000486942.1	FALSE	FALSE	FALSE	2	6	0.953776226596338	0.953776226596338	0	-0.20447852098012909	-0.07172616252329378	-0.08756693301455043	0.04518542544228488	NA	72.628012	55.464571	94.30081200000001	107.537696	64.942081	43.110527000000005	65.038845	88.444147	0.8941740137400429	0.7772624257744642	0.6896954927599138	0.8224478512167491	NA	NA	NA	NA	NA	NA
