gene_id	gene_name	cancer_gene	self_rbp	shRNA_KD	uorftx_number	alltx_number	eps	uorftx_tpm_control	uorftx_tpm_smg6	uorftx_tpm_upf1	gene_tpm_control	gene_tpm_smg6	gene_tpm_upf1	frac_control	frac_smg6	frac_upf1
ENSG00000130939.14	UBE4B	FALSE	FALSE	FALSE	1	1	0	4.80385	6.320538	6.534992	4.80385	6.320538	6.534992	1	1	1
ENSG00000142655.8	PEX14	FALSE	FALSE	FALSE	1	2	0	37.111135	35.921655	28.905457	40.879121999999995	35.921655	32.434899	0.9078261269897138	1	0.8911838140763132
ENSG00000116688.12	MFN2	FALSE	FALSE	FALSE	2	2	0	24.696599	21.861144	29.79838	24.696599	21.861144	29.79838	1	1	1
ENSG00000116691.6	MIIP	FALSE	FALSE	FALSE	1	2	0	1.627398	2.532337	2.40344	1.627398	2.532337	8.175462	1	1	0.29398216272058997
ENSG00000162458.8	FBLIM1	FALSE	FALSE	FALSE	3	3	0	0.564319	1.249094	0.8384069999999999	0.564319	1.249094	0.8384069999999999	1	1	1
ENSG00000065526.6	SPEN	TRUE	FALSE	FALSE	1	1	0	5.375528	4.599448	6.179964	5.375528	4.599448	6.179964	1	1	1
ENSG00000189266.7	PNRC2	FALSE	FALSE	FALSE	2	2	0	111.65593700000001	109.077985	174.762065	111.65593700000001	109.077985	174.762065	1	1	1
ENSG00000183726.6	TMEM50A	FALSE	FALSE	FALSE	1	1	0	29.217685	48.787985	44.934756	29.217685	48.787985	44.934756	1	1	1
ENSG00000130772.9	MED18	FALSE	FALSE	FALSE	1	1	0	19.697855	18.185988	21.541755	19.697855	18.185988	21.541755	1	1	1
ENSG00000121766.10	ZCCHC17	FALSE	FALSE	FALSE	1	4	0	15.186893	27.977962	37.434203	173.92806	184.066767	181.86647	0.08731709535540154	0.15199898632434827	0.2058334502231225
ENSG00000121775.13	TMEM39B	FALSE	FALSE	FALSE	2	3	0	3.238661	8.743338	9.414803	10.144772	18.622904	18.387361	0.31924433590030415	0.46949380182596656	0.5120257877136366
ENSG00000020129.11	NCDN	FALSE	FALSE	FALSE	2	3	0	1.937481	1.429239	2.659853	2.360888	1.702577	3.347443	0.8206577355639064	0.8394563065282803	0.7945924695357023
ENSG00000126070.14	AGO3	FALSE	FALSE	FALSE	3	3	0	6.785666	11.049613	9.75905	6.785666	11.049613	9.75905	1	1	1
ENSG00000054118.9	THRAP3	TRUE	FALSE	FALSE	2	2	0	37.634607	40.239666	51.200134999999996	37.634607	40.239666	51.200134999999996	1	1	1
ENSG00000117408.6	IPO13	FALSE	FALSE	FALSE	1	1	0	0.841143	2.339665	2.597887	0.841143	2.339665	2.597887	1	1	1
ENSG00000132768.9	DPH2	FALSE	FALSE	FALSE	2	2	0	7.849822	9.606348	11.292552	7.849822	9.606348	11.292552	1	1	1
ENSG00000117448.9	AKR1A1	FALSE	FALSE	FALSE	1	2	0	11.795346	14.824752	19.375194	262.178555	461.32881299999997	439.038787	0.04498974372636999	0.032134892905551084	0.04413093916460734
